"Code","LastDate"
"8046.TW","2020-04-21"
"8070.TW","2020-04-21"
"8072.TW","2020-04-21"
"8081.TW","2020-04-21"
"8101.TW","2020-04-21"
"8103.TW","2020-04-21"
"8104.TW","2020-04-21"
"8105.TW","2020-04-21"
"8110.TW","2020-04-21"
"8112.TW","2020-04-21"
"8114.TW","2020-04-21"
"8131.TW","2020-04-21"
"8150.TW","2020-04-21"
"8163.TW","2020-04-21"
"8201.TW","2020-04-21"
"8210.TW","2020-04-21"
"8213.TW","2020-04-21"
"8215.TW","2020-04-21"
"8222.TW","2020-04-21"
"8249.TW","2020-04-21"
"8261.TW","2020-04-21"
"8271.TW","2020-04-21"
"8341.TW","2020-04-21"
"8367.TW","2020-04-21"
"8374.TW","2020-04-21"
"8404.TW","2020-04-21"
"8411.TW","2020-04-21"
"8422.TW","2020-04-21"
"8427.TW","2020-04-21"
"8429.TW","2020-04-21"
"8442.TW","2020-04-21"
"8443.TW","2020-04-21"
"8454.TW","2020-04-21"
"8462.TW","2020-04-21"
"8463.TW","2020-04-21"
"8464.TW","2020-04-21"
"8466.TW","2020-04-21"
"8467.TW","2020-04-21"
"8473.TW","2020-04-21"
"8478.TW","2020-04-21"
"8480.TW","2020-04-21"
"8481.TW","2020-04-21"
"8482.TW","2020-04-21"
"8488.TW","2020-04-21"
"8497.TW","2020-04-21"
"8499.TW","2020-04-21"
"8926.TW","2020-04-21"
"8940.TW","2020-04-21"
"8996.TW","2020-04-21"
"9802.TW","2020-04-21"
"9902.TW","2020-04-21"
"9904.TW","2020-04-21"
"9905.TW","2020-04-21"
"9906.TW","2020-04-21"
"9907.TW","2020-04-21"
"9908.TW","2020-04-21"
"9910.TW","2020-04-21"
"9911.TW","2020-04-21"
"9912.TW","2020-04-21"
"9914.TW","2020-04-21"
"9917.TW","2020-04-21"
"9918.TW","2020-04-21"
"9919.TW","2020-04-21"
"9921.TW","2020-04-21"
"9924.TW","2020-04-21"
"9925.TW","2020-04-21"
"9926.TW","2020-04-21"
"9927.TW","2020-04-21"
"9928.TW","2020-04-21"
"9929.TW","2020-04-21"
"9930.TW","2020-04-21"
"9931.TW","2020-04-21"
"9933.TW","2020-04-21"
"9934.TW","2020-04-21"
